dataset_id,dataset_name,best_algorithm,score_LogisticRegression,score_RandomForest,score_KNN
488,colleges_aaup,LogisticRegression,0.0,0.0,0.0
679,rmftsa_sleepdata,LogisticRegression,0.0,0.0,0.0
685,visualizing_livestock,KNN,0.40266666666666673,0.35333333333333333,0.43866666666666665
694,diggle_table_a2,LogisticRegression,0.0,0.0,0.0
714,fruitfly,LogisticRegression,0.4963888888888889,0.45499999999999996,0.43180555555555555
715,fri_c3_1000_25,RandomForest,0.6497783077839258,0.8841650776341787,0.6180651877983339
716,fri_c3_100_50,RandomForest,0.5669871794871796,0.6185439560439561,0.5449633699633699
717,rmftsa_ladata,LogisticRegression,0.8894262039634091,0.8748498597591157,0.8222661277016995
718,fri_c4_1000_100,RandomForest,0.6360917690792576,0.8282643146447694,0.5595458871816821
719,veteran,RandomForest,0.5771198830409356,0.6948099415204678,0.5946637426900585
720,abalone,RandomForest,0.7878354860500385,0.7910916958950347,0.7723308832149577
721,pwLinear,RandomForest,0.8397493734335839,0.8958270676691729,0.824436090225564
723,fri_c4_1000_25,RandomForest,0.6340220737468444,0.8924642839321738,0.6167545706077816
724,analcatdata_vineyard,RandomForest,0.5250915750915751,0.8168118466898955,0.7213772000357366
725,bank8FM,LogisticRegression,0.9383387845629209,0.9352178572459942,0.9232848480951711
726,fri_c2_100_5,KNN,0.6166666666666668,0.7958333333333334,0.8166666666666667
728,analcatdata_supreme,RandomForest,0.9840382322317692,0.9896203391283093,0.9860139457862062
730,fri_c1_250_5,RandomForest,0.6656323547627896,0.9108200173417564,0.8684380032206118
732,fri_c0_250_50,LogisticRegression,0.75855629877369,0.7514152111978198,0.6353864734299517
733,machine_cpu,RandomForest,0.9074437927663734,0.9192815249266862,0.860386119257087
735,cpu_small,RandomForest,0.8870415547396752,0.8994962162904125,0.7392971273568809
736,visualizing_environmental,LogisticRegression,0.7118181818181819,0.7010606060606059,0.6422727272727272
737,space_ga,RandomForest,0.8375605478936432,0.8401550636531244,0.5936394646655867
738,pharynx,LogisticRegression,0.7774896480331263,0.776899585921325,0.5820186335403728
740,fri_c3_1000_10,RandomForest,0.6637175324675324,0.9035714285714285,0.7710227272727274
741,rmftsa_sleepdata,RandomForest,0.6859846235908572,0.700184335966435,0.6940251963517311
742,fri_c4_500_100,RandomForest,0.6027643103530496,0.7959244702665755,0.5218646510568175
743,fri_c1_1000_5,RandomForest,0.6239730220583831,0.9066956234387428,0.8935442989990257
744,fri_c3_250_5,KNN,0.6749626809971637,0.8710105985968054,0.8762352589938797
745,auto_price,LogisticRegression,0.9545454545454547,0.9497835497835497,0.8973160173160173
746,fri_c1_250_25,RandomForest,0.5672973578145992,0.8241304672339156,0.5711038961038961
748,analcatdata_wildcat,RandomForest,0.6409661835748792,0.7165217391304347,0.696340579710145
749,fri_c3_500_5,RandomForest,0.6596789467724834,0.8967085996767852,0.8827893879504678
750,pm10,RandomForest,0.4948715486194478,0.6074765906362545,0.5440520208083233
751,fri_c4_1000_10,RandomForest,0.6478084415584415,0.8759740259740258,0.7652597402597403
752,puma32H,RandomForest,0.6427273179890216,0.8808095174142478,0.5803188140495642
753,wisconsin,RandomForest,0.5496825396825397,0.5644444444444444,0.5607936507936508
754,fri_c0_100_5,LogisticRegression,0.8328282828282829,0.8217171717171718,0.8256565656565658
756,autoPrice,LogisticRegression,0.9545454545454547,0.9497835497835497,0.8973160173160173
757,meta,KNN,0.5,0.503416149068323,0.5739717046238786
761,cpu_act,RandomForest,0.9174994900747377,0.918419250929411,0.7393846164207482
762,fri_c2_100_10,LogisticRegression,0.7262626262626263,0.7222222222222221,0.6484848484848484
763,fri_c0_250_10,RandomForest,0.804,0.8440000000000001,0.792
764,analcatdata_apnea3,KNN,0.5,0.5,0.5436133486766399
765,analcatdata_apnea2,KNN,0.5,0.5,0.5054987303811871
766,fri_c1_500_50,RandomForest,0.6152848330914369,0.8102076449577453,0.5916202173980175
767,analcatdata_apnea1,LogisticRegression,0.5,0.5,0.4951807228915662
768,fri_c3_100_25,RandomForest,0.5696969696969697,0.6393939393939394,0.5616161616161616
769,fri_c1_250_50,RandomForest,0.6349007675094632,0.810691804170065,0.6007533931446974
770,strikes,RandomForest,0.627547363031234,0.9775729646697389,0.735483870967742
771,analcatdata_michiganacc,LogisticRegression,0.7166666666666667,0.635,0.6788888888888889
772,quake,KNN,0.5109845591049483,0.5199722888250625,0.5208200027541976
773,fri_c0_250_25,LogisticRegression,0.7959487179487181,0.7919358974358974,0.7271153846153847
774,disclosure_x_bias,LogisticRegression,0.5513371290545204,0.5241934092477571,0.5031994047619047
775,fri_c2_100_25,RandomForest,0.6450757575757576,0.8253787878787879,0.6957070707070707
776,fri_c0_250_5,RandomForest,0.8,0.8360000000000001,0.8320000000000001
778,bodyfat,RandomForest,0.947974358974359,0.9960000000000001,0.7878846153846153
779,fri_c1_500_25,RandomForest,0.6403891691247913,0.8536877363985388,0.625998780796051
782,rabe_266,KNN,0.9337412587412588,0.9428321678321678,0.9434731934731936
783,fri_c3_100_10,RandomForest,0.525,0.7416666666666667,0.6208333333333333
784,newton_hema,KNN,0.6571428571428571,0.6071428571428571,0.6714285714285714
786,cleveland,LogisticRegression,0.8203042328042327,0.8046792328042329,0.6609126984126984
788,triazines,KNN,0.6970183982683983,0.7044372294372294,0.7120887445887447
789,fri_c1_100_10,RandomForest,0.6390909090909092,0.7878787878787878,0.6866666666666665
792,fri_c2_500_5,RandomForest,0.6739324100868127,0.8936606035551883,0.8741652886867852
793,fri_c3_250_10,RandomForest,0.6642512077294686,0.9046698872785829,0.7214170692431562
794,fri_c2_250_25,RandomForest,0.6895560156429721,0.8506566702218876,0.6004506765376331
795,disclosure_x_tampered,LogisticRegression,0.5416536200118289,0.4982336568903733,0.502800333994364
796,cpu,RandomForest,0.9718181818181819,0.9785923753665688,0.8943695014662758
797,fri_c4_1000_50,RandomForest,0.6297889610389611,0.8449675324675324,0.6205357142857142
798,cholesterol,LogisticRegression,0.5676421957671958,0.5652401996151996,0.5261333573833574
799,fri_c0_1000_5,RandomForest,0.8469909990999099,0.8849129912991298,0.8720621062106211
801,chscase_funds,LogisticRegression,0.6515531475748194,0.582060543515652,0.570859993120055
